,hotel_name,city_id,hotel_adress,hotel_note,hotel_lat,hotel_lon,hotel_href,hotel_desc
0,Au cœur du centre historique,2,"14 Rue Saint-Loup, 14400 Bayeux, France",9.3,49.274074,-0.7067439999999999,https://www.booking.com/hotel/fr/au-coeur-du-centre-historique-bayeux.fr.html,"Offrant une vue sur la ville, l'hébergement Au cœur du centre historique est situé à Bayeux, à 300 mètres du musée Baron Gérard et à 600 mètres du musée de la Tapisserie de Bayeux. Il possède un parking à vélos et un bowling. Une connexion Wi-Fi est disponible gratuitement dans l'ensemble de ses locaux. La cathédrale Notre-Dame de Bayeux se trouve à 500 mètres.

Cet appartement comprend une chambre, un salon avec une télévision à écran plat, une cuisine entièrement équipée avec un four et un micro-ondes, ainsi qu'une salle de bains pourvue d'un sèche-cheveux. Les serviettes et le linge de lit sont fournis. Cet établissement est non-fumeurs.

Vous pourrez pratiquer des activités à Bayeux et dans ses environs, telles que la pêche, la randonnée et des visites à pied. Vous pourrez pratiquer l'équitation, la plongée et le vélo dans les environs. Un parc aquatique est disponible sur place.

Vous séjournerez à 9,3 km de la batterie allemande du débarquement et à 11 km du musée du débarquement. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 27 km."
1,Hello Bayeux #2 by Melrose,2,"13B Rue des Bouchers, 14400 Bayeux, France",8.4,49.2780891,-0.7023853,https://www.booking.com/hotel/fr/hello-bayeux-2-by-melrose.fr.html,"Le Hello Bayeux #2 by Melrose est situé à Bayeux, à 400 mètres de la cathédrale Notre-Dame de Bayeux, à 600 mètres du musée de la Tapisserie de Bayeux et à 8,1 km de la batterie allemande du débarquement. Vous séjournerez à 10 km du musée du Débarquement, à 11 km d'Arromanches 360 et à 21 km du musée mémorial d'Omaha Beach. Cet établissement non-fumeurs se trouve à 300 mètres du musée Baron Gérard.

Doté d'une connexion Wi-Fi gratuite, cet appartement 1 chambre dispose d'une télévision à écran plat, d'un lave-linge et d'une cuisine entièrement équipée avec un réfrigérateur. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à 21 km d'Omaha Beach et à 22 km du centre Juno Beach. L'aéroport de Caen-Carpiquet, le plus proche, est implanté à 27 km."
2,B&B HOTEL Amiens Centre Cathédrale,6,"4 Rue Du Marechal De Lattre De Tassigny, 80000 Amiens, France",7.9,49.891999,2.29197,https://www.booking.com/hotel/fr/ibis-amiens-centre-cathedrale.fr.html,"Doté d'un restaurant et d'une connexion Wi-Fi gratuite, l'ibis Amiens Centre Cathédrale est situé dans le centre d'Amiens.

Les chambres possèdent une télévision à écran plat et un bureau. Les salles de bains privatives sont pourvues d'une douche.

L'hôtel comporte une réception ouverte 24h/24, un bar, un snack-bar et une bagagerie. Vous savourerez quotidiennement un petit-déjeuner buffet composé de plats sucrés et salés, parmi lesquels des œufs, de la salade de fruits, des yaourts et des jus de fruits. Des viennoiseries cuites sur place et des madeleines fraîches sont aussi proposées, ainsi qu'une boisson chaude et un fruit à emporter. Un petit-déjeuner plus léger est servi à partir de 4h00.

Vous séjournerez à 1,3 km du Zénith d'Amiens, à 800 mètres du Musée de l'Hôtel de Berny et à 1,1 km de la gare ferroviaire d'Amiens. L'aéroport de Beauvais-Tillé se trouve à 50 km. Le parking est accessible moyennant des frais supplémentaires."
3,L'AURE BLEUE,2,"25 Rue des Teinturiers, 14400 Bayeux, France",9.0,49.2772596,-0.699284,https://www.booking.com/hotel/fr/l-39-aure-bleue.fr.html,"Situé à Bayeux, à 300 mètres du musée Baron Gérard et à 400 mètres de celui de la tapisserie, l'appartement L'AURE BLEUE se trouve dans un ancien manoir. Un parking public est accessible gratuitement à proximité.

Cet hébergement dispose d'une cuisine entièrement équipée avec un lave-vaisselle, un lave-linge et un four. Le salon est doté d'une télévision à écran plat.

Dans la région, vous pourrez pratiquer diverses activités, notamment la pêche ainsi que l'équitation. Par ailleurs, l'établissement L'AURE BLEUE vous accueille à 500 mètres de la cathédrale Notre-Dame de Bayeux et à 1 km du musée de la bataille de Normandie. L'aéroport le plus proche est celui de Caen-Carpiquet, situé à 23 km."
4,Hôtel du Marché Paris,5,"6 passage du marche, 10e arr., 75010 Paris, France",7.0,48.87102,2.357519,https://www.booking.com/hotel/fr/du-marche-paris.fr.html,"Situé à Paris, à moins de 800 mètres de la gare de l'Est, l'Hôtel du Marché Paris propose un service de concierge, des chambres non-fumeurs, un salon commun, une connexion Wi-Fi gratuite et une terrasse. Vous séjournerez à 1,2 km de la gare du Nord, à 1,4 km du centre Pompidou et à 2,5 km de la station de métro Pigalle. Un parking privé est disponible moyennant des frais supplémentaires.

Toutes les chambres comprennent un bureau et une armoire. Les logements de l'Hôtel du Marché Paris sont équipés d'une télévision à écran plat et d'articles de toilette gratuits.

Un petit-déjeuner continental est servi chaque matin.

Le personnel de la réception ouverte 24h/24 parle arabe, anglais, espagnol et français.

Vous séjournerez à 2,6 km de la salle de concert La Cigale et à 2,9 km de la cathédrale Notre-Dame. L'aéroport de Paris-Orly, le plus proche, est implanté à 19 km."
5,La maison de Tania,9,"14 carrefour Abbe Stackler, 67220 Neuve-Église, France",9.4,48.3295105,7.3137996,https://www.booking.com/hotel/fr/la-maison-de-tania.fr.html,"Dotée d'un barbecue et offrant une vue sur la ville, La maison de Tania est située à Neuve-Église, à 20 km du château du Haut Koenigsbourg et à 31 km du parc des expositions Colmar Expo. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi. Cette maison de vacances possède une aire de pique-nique et une réception ouverte 24h/24.

Cette maison de vacances spacieuse comprend 3 chambres, une salle de bains, du linge de lit, des serviettes, une télévision par satellite, un coin repas, une cuisine entièrement équipée et une terrasse avec vue sur la montagne. Vous pourrez admirer la vue sur le jardin depuis la terrasse, qui dispose également de mobilier de jardin. Pour plus d'intimité, l'hébergement insonorisé dispose d'une entrée privée.

Après une journée de randonnée à pied ou à vélo, vous pourrez vous détendre dans le jardin ou le coin salon commun.

Vous séjournerez à 34 km de la Maison des Têtes et à 35 km de la collégiale Saint-Martin. L'aéroport international de Strasbourg, le plus proche, est implanté à 39 km."
6,Hotel Viator - Gare de Lyon,5,"1 Rue Parrot, 12e arr., 75012 Paris, France",8.0,48.84684816,2.37256408,https://www.booking.com/hotel/fr/viator.fr.html,"Situé dans le centre de Paris, à seulement 100 mètres de la gare de Lyon, l&#39;Hotel Viator - Gare de Lyon permet d&#39;accéder à l&#39;opéra Bastille et à l&#39;hôtel de ville. Il propose des hébergements dotés de la climatisation et décorés avec élégance.

Les chambres sont aussi équipées d’une télévision par satellite à écran plat et d’un téléphone. Leur salle de bains privative est pourvue d’un sèche-cheveux. Par ailleurs, une connexion Wi-Fi est accessible gratuitement dans l’ensemble des locaux.

Un petit-déjeuner buffet est servi chaque matin dans la salle à manger de l’hôtel. Vous pourrez également déguster votre petit-déjeuner dans le confort de votre chambre.

Depuis la station de métro et de RER Gare de Lyon, vous pourrez accéder au parc Disneyland, aux Champs-Élysées et au musée du Louvre. La place de la Bastille se trouve à seulement 700 mètres de l’Hotel Viator - Gare de Lyon."
7,Hôtel Avenir Jonquière,5,"23 Rue De La Jonquière, 17e arr., 75017 Paris, France",7.9,48.89349841,2.32500155,https://www.booking.com/hotel/fr/avenir-jonquiere.fr.html,"Doté d'une connexion Wi-Fi gratuitement accessible dans tout l'établissement, l'Hôtel Avenir Jonquière vous propose des chambres avec télévision à écran plat et salle de bains privative, à Paris. La station de métro Guy Moquet, la plus proche, se situe à seulement 2 minutes à pied et vous permettra de rejoindre Montmartre en 15 minutes.

La réception est ouverte 24h/24. Le petit-déjeuner pourra vous être servi si vous contactez l'établissement à l'avance.

L'Hôtel Avenir Jonquière se trouve à 1,5 km du Sacré-Cœur, à 2,5 km de l'opéra Garnier et à 18 km de l'aéroport d'Orly."
8,Nice studio in old Cronenbourg with Wi-Fi,8,"85 Route de Mittelhausbergen, 67200 Strasbourg, France",8.3,48.59409207,7.71974109,https://www.booking.com/hotel/fr/nice-studio-at-the-heart-of-old-cronenbourg.fr.html,"Situé à Strasbourg, en Alsace, le Nice studio in old Cronenbourg dispose d'une connexion Wi-Fi, d'un balcon et d'une vue calme sur la rue. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking sur place. Cet établissement non-fumeurs se trouve à 3 km du Zénith de Strasbourg.

Cet appartement comprend une chambre, une kitchenette entièrement équipée avec un four et un réfrigérateur ainsi qu'une salle de bains pourvue d'une douche et de chaussons. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à 3,7 km de l'église Saint-Paul et à 4,3 km du jardin botanique de l'Université de Strasbourg. L'aéroport international de Strasbourg, le plus proche, est à 14 km."
9,"Le Coeur, Studio central refait à neuf, au calme",12,"19 B rue Klein, 25000 Besançon, France",6.6,47.24557453,6.02487871,https://www.booking.com/hotel/fr/le-coeur-studio-central-refait-a-neuf-au-calme.fr.html,"Offrant une vue sur son jardin, Le Coeur, Studio central refait à neuf, au calme est situé à Besançon, à 1,1 km de la gare de Besançon-Mouillère et à 5,1 km de Micropolis. Vous séjournerez à environ 12 km de la gare TGV de Besançon Franche-Comté et à 4,7 km de l'université de Besançon Vesoul. Cet établissement non-fumeurs se trouve à 400 mètres de la gare de Besançon Viotte.

Cet appartement comprend une chambre, une télévision à écran plat, un coin salon et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un grille-pain. Les serviettes et le linge de lit sont fournis. Pour plus d'intimité, l'hébergement dispose d'une entrée privée.

Vous séjournerez à proximité de la cathédrale Saint-Jean de Besançon, du musée du Temps de Besançon et du musée des Beaux-Arts et d'Archéologie de Besançon. L'aéroport le plus proche, celui de Dole-Jura, est situé à 62 km."
